,Datum,Bar
172,2016-08-04 00:47:38.268793,96598.75
173,2016-08-04 00:47:38.304753,96548.25
174,2016-08-04 00:47:38.340749,96578.0
175,2016-08-04 00:47:38.376792,96588.75
176,2016-08-04 00:47:38.412750,96582.5
177,2016-08-04 00:47:38.448797,96606.25
178,2016-08-04 00:47:38.484795,96592.25
179,2016-08-04 00:47:38.520793,96604.5
180,2016-08-04 00:47:38.556792,96576.0
181,2016-08-04 00:47:38.592793,96608.75
182,2016-08-04 00:47:38.628792,96558.5
183,2016-08-04 00:47:38.664790,96582.5
184,2016-08-04 00:47:38.700797,96582.0
185,2016-08-04 00:47:38.736786,96586.25
186,2016-08-04 00:47:38.772798,96598.5
187,2016-08-04 00:47:38.808797,96610.5
188,2016-08-04 00:47:38.844798,96624.0
189,2016-08-04 00:47:38.880797,96536.0
190,2016-08-04 00:47:38.916797,96620.25
191,2016-08-04 00:47:38.952793,96604.25
192,2016-08-04 00:47:38.988798,96574.0
193,2016-08-04 00:47:39.024811,96596.75
194,2016-08-04 00:47:39.060797,96572.0
195,2016-08-04 00:47:39.096794,96614.25
196,2016-08-04 00:47:39.132796,96612.0
197,2016-08-04 00:47:39.168795,96610.5
198,2016-08-04 00:47:39.204792,96590.0
199,2016-08-04 00:47:39.240795,96594.25
200,2016-08-04 00:47:39.276790,96604.5
201,2016-08-04 00:47:39.312798,96572.75
202,2016-08-04 00:47:39.348796,96580.75
203,2016-08-04 00:47:39.384800,96616.5
204,2016-08-04 00:47:39.420797,96582.25
205,2016-08-04 00:47:39.456789,96564.5
206,2016-08-04 00:47:39.492787,96588.75
207,2016-08-04 00:47:39.528787,96586.25
208,2016-08-04 00:47:39.564789,96582.5
209,2016-08-04 00:47:39.600790,96630.0
210,2016-08-04 00:47:39.636789,96584.0
211,2016-08-04 00:47:39.672789,96656.25
212,2016-08-04 00:47:39.708797,96614.75
213,2016-08-04 00:47:39.744780,96598.5
214,2016-08-04 00:47:39.780794,96632.0
215,2016-08-04 00:47:39.816797,96612.5
216,2016-08-04 00:47:39.852812,96584.5
217,2016-08-04 00:47:39.888767,96602.5
218,2016-08-04 00:47:39.924766,96606.5
219,2016-08-04 00:47:39.960814,96600.75
220,2016-08-04 00:47:39.996799,96604.5
221,2016-08-04 00:47:40.032788,96600.75
222,2016-08-04 00:47:40.068782,96618.25
223,2016-08-04 00:47:40.104784,96596.0
224,2016-08-04 00:47:40.140783,96612.0
225,2016-08-04 00:47:40.176785,96592.0
226,2016-08-04 00:47:40.212806,96582.0
227,2016-08-04 00:47:40.248796,96578.5
228,2016-08-04 00:47:40.284783,96594.5
229,2016-08-04 00:47:40.320786,96588.25
230,2016-08-04 00:47:40.356783,96610.5
231,2016-08-04 00:47:40.392783,96590.0
232,2016-08-04 00:47:40.428782,96592.5
233,2016-08-04 00:47:40.464805,96566.75
234,2016-08-04 00:47:40.500778,96592.0
235,2016-08-04 00:47:40.536770,96602.25
236,2016-08-04 00:47:40.572766,96600.25
237,2016-08-04 00:47:40.608770,96590.25
238,2016-08-04 00:47:40.644769,96590.0
239,2016-08-04 00:47:40.680766,96648.75
240,2016-08-04 00:47:40.716762,96624.75
241,2016-08-04 00:47:40.752761,96604.0
242,2016-08-04 00:47:40.788766,96562.25
243,2016-08-04 00:47:40.824774,96586.5
244,2016-08-04 00:47:40.860761,96584.0
245,2016-08-04 00:47:40.896759,96598.75
246,2016-08-04 00:47:40.932762,96544.75
247,2016-08-04 00:47:40.968777,96576.75
248,2016-08-04 00:47:41.004798,96620.5
249,2016-08-04 00:47:41.040796,96590.5
250,2016-08-04 00:47:41.076793,96564.25
251,2016-08-04 00:47:41.112793,96622.25
252,2016-08-04 00:47:41.148796,96580.75
253,2016-08-04 00:47:41.184796,96588.25
254,2016-08-04 00:47:41.220793,96614.25
255,2016-08-04 00:47:41.256791,96588.5
256,2016-08-04 00:47:41.292793,96574.0
257,2016-08-04 00:47:41.328795,96582.25
258,2016-08-04 00:47:41.364792,96592.5
259,2016-08-04 00:47:41.400790,96602.75
260,2016-08-04 00:47:41.436793,96578.0
261,2016-08-04 00:47:41.472791,96602.0
262,2016-08-04 00:47:41.508802,96618.0
263,2016-08-04 00:47:41.544791,96582.5
264,2016-08-04 00:47:41.580789,96622.75
265,2016-08-04 00:47:41.616789,96612.75
266,2016-08-04 00:47:41.652790,96586.0
267,2016-08-04 00:47:41.688790,96592.0
268,2016-08-04 00:47:41.724791,96586.5
269,2016-08-04 00:47:41.760789,96606.0
270,2016-08-04 00:47:41.796787,96612.75
271,2016-08-04 00:47:41.832789,96584.0
272,2016-08-04 00:47:41.868792,96610.5
273,2016-08-04 00:47:41.904787,96612.5
274,2016-08-04 00:47:41.940793,96590.0
275,2016-08-04 00:47:41.976786,96598.75
276,2016-08-04 00:47:42.012787,96592.0
277,2016-08-04 00:47:42.048791,96582.5
278,2016-08-04 00:47:42.084786,96598.0
279,2016-08-04 00:47:42.120786,96590.5
280,2016-08-04 00:47:42.156784,96612.5
281,2016-08-04 00:47:42.192787,96592.25
282,2016-08-04 00:47:42.228794,96604.75
283,2016-08-04 00:47:42.264786,96604.0
284,2016-08-04 00:47:42.300765,96572.0
285,2016-08-04 00:47:42.336786,96586.75
286,2016-08-04 00:47:42.372785,96604.0
287,2016-08-04 00:47:42.408769,96574.5
288,2016-08-04 00:47:42.444784,96612.75
289,2016-08-04 00:47:42.480785,96588.75
290,2016-08-04 00:47:42.516784,96592.5
291,2016-08-04 00:47:42.552782,96576.75
292,2016-08-04 00:47:42.588765,96586.5
293,2016-08-04 00:47:42.624786,96632.25
294,2016-08-04 00:47:42.660782,96610.75
295,2016-08-04 00:47:42.696783,96600.0
296,2016-08-04 00:47:42.732748,96580.0
297,2016-08-04 00:47:42.768782,96612.5
298,2016-08-04 00:47:42.804771,96596.75
299,2016-08-04 00:47:42.840768,96586.0
300,2016-08-04 00:47:42.876768,96592.25
301,2016-08-04 00:47:42.912768,96602.0
302,2016-08-04 00:47:42.948768,96596.5
303,2016-08-04 00:47:42.984793,96598.25
304,2016-08-04 00:47:43.020774,96580.25
305,2016-08-04 00:47:43.056768,96576.75
306,2016-08-04 00:47:43.092778,96618.25
307,2016-08-04 00:47:43.128777,96586.0
308,2016-08-04 00:47:43.164774,96568.75
309,2016-08-04 00:47:43.200773,96598.75
310,2016-08-04 00:47:43.236790,96580.75
311,2016-08-04 00:47:43.272775,96626.25
312,2016-08-04 00:47:43.308774,96616.75
313,2016-08-04 00:47:43.344768,96582.25
314,2016-08-04 00:47:43.380769,96590.75
315,2016-08-04 00:47:43.416770,96608.5
316,2016-08-04 00:47:43.452760,96610.25
317,2016-08-04 00:47:43.488781,96616.25
318,2016-08-04 00:47:43.524773,96602.25
319,2016-08-04 00:47:43.560766,96572.5
320,2016-08-04 00:47:43.596741,96614.0
321,2016-08-04 00:47:43.632743,96572.5
322,2016-08-04 00:47:43.668742,96610.5
323,2016-08-04 00:47:43.704741,96620.5
324,2016-08-04 00:47:43.740741,96586.75
325,2016-08-04 00:47:43.776740,96574.25
326,2016-08-04 00:47:43.812707,96576.75
327,2016-08-04 00:47:43.848739,96614.75
328,2016-08-04 00:47:43.884738,96602.75
329,2016-08-04 00:47:43.920757,96598.0
330,2016-08-04 00:47:43.956756,96594.5
331,2016-08-04 00:47:43.992755,96594.75
332,2016-08-04 00:47:44.028727,96592.5
333,2016-08-04 00:47:44.064763,96572.5
334,2016-08-04 00:47:44.100764,96588.0
335,2016-08-04 00:47:44.136753,96608.25
336,2016-08-04 00:47:44.172760,96644.25
337,2016-08-04 00:47:44.208713,96622.25
338,2016-08-04 00:47:44.244761,96612.0
339,2016-08-04 00:47:44.280705,96644.75
340,2016-08-04 00:47:44.316740,96628.25
341,2016-08-04 00:47:44.352760,96592.25
342,2016-08-04 00:47:44.388760,96604.25
343,2016-08-04 00:47:44.424751,96574.75
344,2016-08-04 00:47:44.460754,96622.5
345,2016-08-04 00:47:44.496753,96592.5
346,2016-08-04 00:47:44.532753,96596.75
347,2016-08-04 00:47:44.568752,96644.5
348,2016-08-04 00:47:44.604752,96622.5
349,2016-08-04 00:47:44.640763,96592.5
350,2016-08-04 00:47:44.676763,96580.5
351,2016-08-04 00:47:44.712758,96598.25
352,2016-08-04 00:47:44.748752,96592.25
353,2016-08-04 00:47:44.784750,96638.25
354,2016-08-04 00:47:44.820762,96584.75
355,2016-08-04 00:47:44.856777,96592.0
356,2016-08-04 00:47:44.892750,96600.0
357,2016-08-04 00:47:44.928764,96624.25
358,2016-08-04 00:47:44.964750,96610.25
359,2016-08-04 00:47:45.000749,96590.5
360,2016-08-04 00:47:45.036750,96604.5
361,2016-08-04 00:47:45.072746,96580.0
362,2016-08-04 00:47:45.108758,96620.75
363,2016-08-04 00:47:45.144750,96612.75
364,2016-08-04 00:47:45.180752,96614.0
365,2016-08-04 00:47:45.216745,96616.75
366,2016-08-04 00:47:45.252747,96570.75
367,2016-08-04 00:47:45.288747,96600.25
368,2016-08-04 00:47:45.324750,96600.5
369,2016-08-04 00:47:45.360743,96610.5
370,2016-08-04 00:47:45.396746,96592.5
371,2016-08-04 00:47:45.432746,96584.0
372,2016-08-04 00:47:45.468749,96624.75
373,2016-08-04 00:47:45.504746,96592.5
374,2016-08-04 00:47:45.540746,96540.5
375,2016-08-04 00:47:45.576745,96572.25
376,2016-08-04 00:47:45.612745,96586.75
377,2016-08-04 00:47:45.648752,96600.5
378,2016-08-04 00:47:45.684757,96594.75
379,2016-08-04 00:47:45.720759,96610.25
380,2016-08-04 00:47:45.756763,96604.75
381,2016-08-04 00:47:45.792752,96560.5
382,2016-08-04 00:47:45.828748,96592.0
383,2016-08-04 00:47:45.864743,96640.5
384,2016-08-04 00:47:45.900740,96638.75
385,2016-08-04 00:47:45.936748,96610.75
386,2016-08-04 00:47:45.972748,96602.5
387,2016-08-04 00:47:46.008753,96586.75
388,2016-08-04 00:47:46.044745,96604.25
389,2016-08-04 00:47:46.080745,96614.0
390,2016-08-04 00:47:46.116747,96640.5
391,2016-08-04 00:47:46.152740,96604.75
392,2016-08-04 00:47:46.188737,96624.0
393,2016-08-04 00:47:46.224740,96586.25
394,2016-08-04 00:47:46.260751,96640.75
395,2016-08-04 00:47:46.296741,96594.25
396,2016-08-04 00:47:46.332741,96608.75
397,2016-08-04 00:47:46.368738,96646.75
398,2016-08-04 00:47:46.404739,96566.5
399,2016-08-04 00:47:46.440740,96596.25
400,2016-08-04 00:47:46.476757,96596.0
401,2016-08-04 00:47:46.512755,96636.75
